tissue,tf,plus,minus,unknown,total,score,imputed
SPLEEN,NFIX,1297,1188,0,2485,0.04386317907444668,False
SPLEEN,MEIS1,837,1231,0,2068,-0.19052224371373308,False
SPLEEN,SOX15,1041,1061,0,2102,-0.009514747859181731,False
SPLEEN,RHOXF1,1158,882,0,2040,0.13529411764705881,False
SPLEEN,GSX1,1025,894,0,1919,0.068264721208963,False
SPLEEN,SRY,926,863,0,1789,0.03521520402459474,False
SPLEEN,SHOX,1017,877,0,1894,0.07391763463569166,False
SPLEEN,ISL2,901,812,0,1713,0.05195563339171045,False
SPLEEN,NFATC3,985,636,0,1621,0.21529919802590994,False
SPLEEN,ALX3,729,665,0,1394,0.04591104734576758,False
SPLEEN,FOXP3,736,631,0,1367,0.07681053401609364,False
SPLEEN,HIC2,720,580,0,1300,0.1076923076923077,False
SPLEEN,NKX6-2,615,685,0,1300,-0.05384615384615385,False
SPLEEN,ZNF354C,585,550,0,1135,0.030837004405286344,False
SPLEEN,HOXA7,631,547,0,1178,0.07130730050933787,False
SPLEEN,HOXA6,488,577,0,1065,-0.0835680751173709,False
SPLEEN,MEOX2,559,492,0,1051,0.06374881065651761,False
SPLEEN,HOXA10,624,490,0,1114,0.12028725314183124,False
SPLEEN,VAX1,537,498,0,1035,0.03768115942028986,False
SPLEEN,BARHL2,540,439,0,979,0.10316649642492338,False
SPLEEN,VAX2,515,488,0,1003,0.026919242273180457,False
SPLEEN,HOXB3,609,430,0,1039,0.17228103946102022,False
SPLEEN,GSC2,388,546,0,934,-0.16916488222698073,False
SPLEEN,MSANTD3,506,407,0,913,0.10843373493975904,False
SPLEEN,TBX5,423,403,0,826,0.024213075060532687,False
SPLEEN,NKX2-4,460,406,0,866,0.06235565819861432,False
SPLEEN,NR2C1,447,383,0,830,0.07710843373493977,False
SPLEEN,OTX2,506,400,0,906,0.11699779249448124,False
SPLEEN,BARX2,535,392,0,927,0.15426105717367852,False
SPLEEN,ZNF354A,503,429,0,932,0.07939914163090128,False
SPLEEN,VSX1,440,367,0,807,0.09045848822800495,False
SPLEEN,MEIS3,338,409,0,747,-0.09504685408299866,False
SPLEEN,RBPJ,357,327,0,684,0.043859649122807015,False
SPLEEN,FOXD3,439,361,0,800,0.0975,False
SPLEEN,MXI1,335,358,0,693,-0.03318903318903319,False
SPLEEN,NKX2-8,245,389,0,634,-0.22712933753943218,False
SPLEEN,MEF2A,416,326,0,742,0.12129380053908356,False
SPLEEN,POU5F1,325,348,0,673,-0.03417533432392273,False
SPLEEN,SOX9,211,413,0,624,-0.32371794871794873,False
PANCREAS,ZNF384,2687,2098,0,4785,0.12309299895506792,False
PANCREAS,NFIX,1291,1275,0,2566,0.006235385814497272,False
PANCREAS,MEIS1,845,1208,0,2053,-0.1768144179249878,False
PANCREAS,SOX15,969,939,0,1908,0.015723270440251572,False
PANCREAS,RHOXF1,949,807,0,1756,0.08086560364464693,False
PANCREAS,GSX1,1092,853,0,1945,0.12287917737789203,False
PANCREAS,SRY,946,791,0,1737,0.0892343120322395,False
PANCREAS,SHOX,1009,813,0,1822,0.10757409440175632,False
PANCREAS,ISL2,835,733,0,1568,0.06505102040816327,False
PANCREAS,NFATC3,953,660,0,1613,0.18164910105393675,False
PANCREAS,ALX3,879,593,0,1472,0.19429347826086957,False
PANCREAS,FOXP3,734,605,0,1339,0.09634055265123226,False
PANCREAS,HIC2,701,570,0,1271,0.10306845003933911,False
PANCREAS,NKX6-2,694,552,0,1246,0.11396468699839486,False
PANCREAS,ZNF354C,497,563,0,1060,-0.062264150943396226,False
PANCREAS,HOXA7,609,508,0,1117,0.09042076991942703,False
PANCREAS,HOXA6,529,554,0,1083,-0.023084025854108958,False
PANCREAS,MEOX2,613,460,0,1073,0.14259086672879775,False
PANCREAS,HOXA10,653,391,0,1044,0.2509578544061303,False
PANCREAS,VAX1,533,460,0,993,0.07351460221550855,False
PANCREAS,BARHL2,622,418,0,1040,0.19615384615384615,False
PANCREAS,VAX2,535,426,0,961,0.11342351716961499,False
PANCREAS,HOXB3,549,389,0,938,0.17057569296375266,False
PANCREAS,GSC2,326,488,0,814,-0.19901719901719903,False
PANCREAS,MSANTD3,428,412,0,840,0.01904761904761905,False
PANCREAS,TBX5,384,399,0,783,-0.019157088122605363,False
PANCREAS,NKX2-4,358,409,0,767,-0.06649282920469361,False
PANCREAS,NR2C1,402,327,0,729,0.102880658436214,False
PANCREAS,OTX2,415,368,0,783,0.06002554278416347,False
PANCREAS,BARX2,555,335,0,890,0.24719101123595505,False
PANCREAS,ZNF354A,446,372,0,818,0.09046454767726161,False
PANCREAS,VSX1,434,350,0,784,0.10714285714285714,False
PANCREAS,MEIS3,290,380,0,670,-0.13432835820895522,False
PANCREAS,RBPJ,365,338,0,703,0.03840682788051209,False
PANCREAS,FOXD3,419,347,0,766,0.09399477806788512,False
PANCREAS,MXI1,315,329,0,644,-0.021739130434782608,False
PANCREAS,NKX2-8,269,350,0,619,-0.1308562197092084,False
PANCREAS,MEF2A,362,304,0,666,0.08708708708708708,False
PANCREAS,POU5F1,305,305,0,610,0.0,False
PANCREAS,SOX9,201,367,0,568,-0.29225352112676056,False
PERIPHERALBLOOD,ZNF384,15,51,0,66,-0.5454545454545454,False
PERIPHERALBLOOD,NFIX,42,30,0,72,0.16666666666666666,False
PERIPHERALBLOOD,MEIS1,21,30,0,51,-0.17647058823529413,False
PERIPHERALBLOOD,SOX15,10,32,0,42,-0.5238095238095238,False
PERIPHERALBLOOD,RHOXF1,25,29,0,54,-0.07407407407407407,False
PERIPHERALBLOOD,GSX1,17,28,0,45,-0.24444444444444444,False
PERIPHERALBLOOD,SRY,16,30,0,46,-0.30434782608695654,False
PERIPHERALBLOOD,SHOX,9,31,0,40,-0.55,False
PERIPHERALBLOOD,ISL2,18,27,0,45,-0.2,False
PERIPHERALBLOOD,NFATC3,26,27,0,53,-0.018867924528301886,False
PERIPHERALBLOOD,ALX3,4,25,0,29,-0.7241379310344828,False
PERIPHERALBLOOD,FOXP3,21,16,0,37,0.13513513513513514,False
